[2021-10-22 17:55:16,084] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8001
[2021-10-22 17:55:16,090] DEBUG in urllib3.connectionpool: http://localhost:8001 "GET /authenticate/?username=username HTTP/1.1" 200 4
[2021-10-22 22:01:24,202] DEBUG in timelines: WHERE "username LIKE ?", ['%juancocina%']
[2021-11-11 19:23:53,798] DEBUG in users: WHERE "username LIKE ?", ['%j%']
[2021-11-11 19:25:04,898] DEBUG in users: WHERE "username LIKE ?", ['%j%']
[2021-11-11 19:25:18,748] DEBUG in users: WHERE "username LIKE ?", ['%j%']
[2021-11-11 19:32:08,509] DEBUG in users: WHERE "username LIKE ?", ['%j%']
[2021-11-11 19:35:09,436] DEBUG in users: WHERE "username LIKE ?", ['%j%']
[2021-11-11 19:48:18,132] DEBUG in timelines: WHERE "username LIKE ?", ['%j%']
[2021-11-12 22:47:32,548] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 22:49:23,205] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 22:49:38,325] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 22:49:52,219] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 22:49:52,226] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/ HTTP/1.1" 500 59
[2021-11-12 22:50:00,156] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 22:50:00,175] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/ HTTP/1.1" 500 59
[2021-11-12 22:52:17,826] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 22:52:17,834] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/ HTTP/1.1" 500 59
[2021-11-12 22:52:28,575] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 22:52:28,584] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/ HTTP/1.1" 500 59
[2021-11-12 23:00:15,361] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:00:15,367] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/ HTTP/1.1" 200 4
[2021-11-12 23:02:46,390] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:02:46,407] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/ HTTP/1.1" 200 4
[2021-11-12 23:15:53,545] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:15:53,552] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?usernamejuancocina HTTP/1.1" 200 4
[2021-11-12 23:16:19,017] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:16:19,022] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?usernamejuancocina HTTP/1.1" 200 4
[2021-11-12 23:19:06,499] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:19:06,510] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?usernamejuancocina HTTP/1.1" 200 4
[2021-11-12 23:20:39,007] DEBUG in urllib3.connectionpool: Starting new HTTP connection (1): localhost:8000
[2021-11-12 23:20:39,013] DEBUG in urllib3.connectionpool: http://localhost:8000 "GET /userFollows/?usernamejuancocina HTTP/1.1" 200 4
